,id_str,id,screen_name,confirmed_account_type,state,twitter_name,real_name,bioguide,office_holder,party,district,level,woman,birthday,last_updated
2581,8.313085493722604e+17,8.313085493722604e+17,bwestbrookaz8,1.0,Arizona,Brianna Westbrook,,,,,,,,,2021-04-20
2582,15937190.0,15937190.0,azgop,1.0,Arizona,Arizona Republican Party,,,,,,,,,2021-04-20
2583,23480020.0,23480020.0,azdemparty,1.0,Arizona,Arizona Democratic Party,,,,,,,,,2021-04-20
2584,101918522.0,101918522.0,tomforese,1.0,Arizona,Tom Forese,,,,,,,,,2021-04-20
2585,26659619.0,26659619.0,katiehobbs,1.0,Arizona,Katie Hobbs,,,,,,,,,2021-04-20
2586,22154680.0,22154680.0,azhousegop,1.0,Arizona,AZ House Republicans,,,,,,,,,2021-04-20
2587,72659003.0,72659003.0,azsenatedems,1.0,Arizona,Arizona Senate Democrats,,,,,,,,,2021-04-20
2588,1309287014.0,1309287014.0,dg4az,1.0,Arizona,David Garcia,,,,,,,,,2021-04-20
2589,24063730.0,24063730.0,azsenategop,1.0,Arizona,AZSenateRepublicans,,,,,,,,,2021-04-20
2590,377010453.0,377010453.0,senquezada29,1.0,Arizona,Sen. Martín Quezada,,,,,,,,,2021-04-20
2591,2868353169.0,2868353169.0,generalbrnovich,1.0,Arizona,Mark Brnovich,,,,,,,,,2021-04-20
2592,504962601.0,504962601.0,stevefarleyaz,1.0,Arizona,Steve Farley,,,,,,,,,2021-04-20
2593,364474556.0,364474556.0,heathercarteraz,1.0,Arizona,Dr. Heather Carter,,,,,,,,,2021-04-20
2594,531881500.0,531881500.0,mendezforaz,1.0,Arizona,Sen. Juan Mendez,,,,,,,,,2021-04-20
2595,103057647.0,103057647.0,katemcgeeaz,1.0,Arizona,Kate Brophy McGee,,,,,,,,,2021-04-20
2596,3279277182.0,3279277182.0,athenasalman,1.0,Arizona,Rep. Athena Salman,,,,,,,,,2021-04-20
2597,284994524.0,284994524.0,jdmesnard,1.0,Arizona,J.D. Mesnard,,,,,,,,,2021-04-20
2598,58594817.0,58594817.0,terrygoddardaz,1.0,Arizona,Terry Goddard,,,,,,,,,2021-04-20
2599,277302829.0,277302829.0,annatovaraz,1.0,Arizona,Anna Tovar,,,,,,,,,2021-04-20
2600,305946514.0,305946514.0,steve_gallardo,1.0,Arizona,Supervisor Steve Gallardo,,,,,,,,,2021-04-20
2601,234374703.0,234374703.0,sen_joemanchin,1.0,West Virginia,Senator Joe Manchin,Joe Manchin,M001183,1.0,Democratic,99.0,3.0,0.0,1947-08-24,2021-04-20
2602,158494010.0,158494010.0,nancybarto,1.0,Arizona,Nancy Barto,,,,,,,,,2021-04-20
2603,1730716639.0,1730716639.0,mark4az,1.0,Arizona,Mark Brnovich,,,,,,,,,2021-04-20
2604,1077214808.0,1077214808.0,govinslee,1.0,Washington,Governor Jay Inslee,,,,,,,,,2021-04-20
2605,164160570.0,164160570.0,michelleugenti,1.0,Arizona,Michelle Ugenti-RITA,,,,,,,,,2021-04-20
2606,21632252.0,21632252.0,reginaldbolding,1.0,Arizona,Rep Reginald Bolding,,,,,,,,,2021-04-20
2607,80935902.0,80935902.0,feleciaforaz,1.0,Arizona,Felecia Rotellini,,,,,,,,,2021-04-20
2608,2358550790.0,2358550790.0,drrandyfriese,1.0,Arizona,Dr. Randy Friese,,,,,,,,,2021-04-20
2609,259459455.0,259459455.0,flakeforsenate,1.0,Arizona,Flake for Senate,,,,,,,,,2021-04-20
2610,165743715.0,165743715.0,taylor4arizona,1.0,Arizona,Chris Taylor,,,,,,,,,2021-04-20
2611,1.0392919231423898e+18,1.0392919231423898e+18,arizonamirror,1.0,Arizona,Arizona Mirror,,,,,,,,,2021-04-20
2612,17655062.0,17655062.0,kenclarkforaz,1.0,Arizona,Ken Clark,,,,,,,,,2021-04-20
